Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Change Password,Chrome 69.0.3497.100,,2018-10-19 16:51:04,2018-10-19 16:51:22,17.170s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO/Change Password,Chrome 69.0.3497.100,,2018-10-19 16:51:05,2018-10-19 16:51:22,16.686s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:51:05,2018-10-19 16:51:10,4.199s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:51:10,2018-10-19 16:51:11,1.227s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:51:11,2018-10-19 16:51:12,1.469s,PASSED
setText,Chrome 69.0.3497.100,Click On User Name,2018-10-19 16:51:12,2018-10-19 16:51:13,0.230s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:51:13,2018-10-19 16:51:13,0.599s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:51:13,2018-10-19 16:51:14,0.467s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:51:14,2018-10-19 16:51:14,0.287s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:51:14,2018-10-19 16:51:14,0.507s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:51:14,2018-10-19 16:51:15,0.429s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 16:51:15,2018-10-19 16:51:15,0.154s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:51:15,2018-10-19 16:51:15,0.123s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:51:15,2018-10-19 16:51:15,0.362s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:51:15,2018-10-19 16:51:16,0.401s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 16:51:16,2018-10-19 16:51:16,0.153s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:51:16,2018-10-19 16:51:16,0.113s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 16:51:16,2018-10-19 16:51:17,1.010s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:51:17,2018-10-19 16:51:18,0.446s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:51:18,2018-10-19 16:51:18,0.409s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:51:18,2018-10-19 16:51:18,0.137s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:51:18,2018-10-19 16:51:18,0.163s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:51:18,2018-10-19 16:51:18,0.126s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:51:18,2018-10-19 16:51:18,0.081s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:51:18,2018-10-19 16:51:19,0.433s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:51:19,2018-10-19 16:51:19,0.092s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:51:19,2018-10-19 16:51:19,0.116s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:51:19,2018-10-19 16:51:19,0.104s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:51:19,2018-10-19 16:51:20,0.592s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:51:20,2018-10-19 16:51:20,0.416s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 16:51:20,2018-10-19 16:51:20,0.246s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 16:51:20,2018-10-19 16:51:21,0.409s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 16:51:21,2018-10-19 16:51:22,0.678s,PASSED
