Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Download Apk File,Chrome 69.0.3497.100,,2018-10-19 11:47:25,2018-10-19 11:47:41,15.877s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO/Download Apk File,Chrome 69.0.3497.100,,2018-10-19 11:47:26,2018-10-19 11:47:41,15.421s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 11:47:26,2018-10-19 11:47:30,3.978s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 11:47:30,2018-10-19 11:47:31,1.255s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 11:47:31,2018-10-19 11:47:32,1.209s,PASSED
setText,Chrome 69.0.3497.100,Click On Use Name,2018-10-19 11:47:32,2018-10-19 11:47:33,0.312s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 11:47:33,2018-10-19 11:47:33,0.474s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 11:47:33,2018-10-19 11:47:34,0.461s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 11:47:34,2018-10-19 11:47:34,0.268s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 11:47:34,2018-10-19 11:47:35,0.684s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 11:47:35,2018-10-19 11:47:35,0.427s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 11:47:35,2018-10-19 11:47:35,0.148s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 11:47:35,2018-10-19 11:47:35,0.106s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 11:47:35,2018-10-19 11:47:36,0.335s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 11:47:36,2018-10-19 11:47:36,0.421s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 11:47:36,2018-10-19 11:47:36,0.139s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 11:47:36,2018-10-19 11:47:36,0.115s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 11:47:36,2018-10-19 11:47:37,1.091s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 11:47:37,2018-10-19 11:47:38,0.407s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 11:47:38,2018-10-19 11:47:38,0.527s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 11:47:38,2018-10-19 11:47:39,0.420s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 11:47:39,2018-10-19 11:47:39,0.190s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 11:47:39,2018-10-19 11:47:39,0.457s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 11:47:39,2018-10-19 11:47:40,0.427s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 11:47:40,2018-10-19 11:47:40,0.395s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 11:47:40,2018-10-19 11:47:41,0.696s,PASSED
