Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Immigration Report,Firefox 60.0,,2018-10-09 14:53:04,2018-10-09 14:53:34,30.190s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO/Immigration Report,Firefox 60.0,,2018-10-09 14:53:05,2018-10-09 14:53:34,29.749s,PASSED
openBrowser,Firefox 60.0,,2018-10-09 14:53:05,2018-10-09 14:53:10,4.570s,PASSED
maximizeWindow,Firefox 60.0,,2018-10-09 14:53:10,2018-10-09 14:53:13,3.562s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-09 14:53:13,2018-10-09 14:53:14,0.901s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:14,2018-10-09 14:53:14,0.167s,PASSED
click,Firefox 60.0,,2018-10-09 14:53:14,2018-10-09 14:53:15,0.558s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:15,2018-10-09 14:53:15,0.255s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 14:53:15,2018-10-09 14:53:15,0.181s,PASSED
click,Firefox 60.0,,2018-10-09 14:53:15,2018-10-09 14:53:16,0.569s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:16,2018-10-09 14:53:16,0.155s,PASSED
setText,Firefox 60.0,"Invalid Username&Password
",2018-10-09 14:53:16,2018-10-09 14:53:16,0.143s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 14:53:16,2018-10-09 14:53:16,0.076s,PASSED
click,Firefox 60.0,It should display an error message,2018-10-09 14:53:16,2018-10-09 14:53:17,0.382s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:17,2018-10-09 14:53:17,0.162s,PASSED
setText,Firefox 60.0,"valid Username&Password
",2018-10-09 14:53:17,2018-10-09 14:53:17,0.063s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 14:53:17,2018-10-09 14:53:17,0.070s,PASSED
click,Firefox 60.0,It should display login page,2018-10-09 14:53:17,2018-10-09 14:53:18,0.860s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:18,2018-10-09 14:53:18,0.180s,PASSED
click,Firefox 60.0,Click on Immigration Report,2018-10-09 14:53:18,2018-10-09 14:53:18,0.293s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:18,2018-10-09 14:53:18,0.142s,PASSED
click,Firefox 60.0,Click on Immigration Printing Assign Report  ,2018-10-09 14:53:18,2018-10-09 14:53:19,0.448s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:19,2018-10-09 14:53:19,0.148s,PASSED
click,Firefox 60.0,"Click on 'reset' option

",2018-10-09 14:53:19,2018-10-09 14:53:19,0.245s,PASSED
takeScreenshot,Firefox 60.0,All the filled-in data should get erased when clicked on the reset link,2018-10-09 14:53:19,2018-10-09 14:53:19,0.169s,PASSED
click,Firefox 60.0,without giving any inputs,2018-10-09 14:53:19,2018-10-09 14:53:20,0.243s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:20,2018-10-09 14:53:20,0.150s,PASSED
setText,Firefox 60.0,Enter only 'Postcodes' ,2018-10-09 14:53:20,2018-10-09 14:53:20,0.066s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:20,2018-10-09 14:53:20,0.087s,PASSED
click,Firefox 60.0,Should display an error message,2018-10-09 14:53:20,2018-10-09 14:53:20,0.241s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:20,2018-10-09 14:53:20,0.136s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:20,2018-10-09 14:53:20,0.065s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:20,2018-10-09 14:53:20,0.090s,PASSED
click,Firefox 60.0,,2018-10-09 14:53:20,2018-10-09 14:53:21,0.689s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:21,2018-10-09 14:53:21,0.162s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:21,2018-10-09 14:53:21,0.048s,PASSED
click,Firefox 60.0,,2018-10-09 14:53:21,2018-10-09 14:53:22,0.431s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:22,2018-10-09 14:53:22,0.156s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:22,2018-10-09 14:53:22,0.111s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:22,2018-10-09 14:53:22,0.101s,PASSED
click,Firefox 60.0,,2018-10-09 14:53:22,2018-10-09 14:53:23,0.422s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:23,2018-10-09 14:53:23,0.154s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:23,2018-10-09 14:53:23,0.068s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:23,2018-10-09 14:53:23,0.098s,PASSED
click,Firefox 60.0,,2018-10-09 14:53:23,2018-10-09 14:53:23,0.388s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:23,2018-10-09 14:53:23,0.158s,PASSED
click,Firefox 60.0,Click on Immigration Report,2018-10-09 14:53:23,2018-10-09 14:53:24,0.362s,PASSED
click,Firefox 60.0,Click on Immigration Delivery performance Report_FW  ,2018-10-09 14:53:24,2018-10-09 14:53:24,0.392s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:24,2018-10-09 14:53:24,0.149s,PASSED
click,Firefox 60.0,"Click on 'reset' option
",2018-10-09 14:53:24,2018-10-09 14:53:25,0.236s,PASSED
takeScreenshot,Firefox 60.0,All the filled-in data should get erased when clicked on the reset link,2018-10-09 14:53:25,2018-10-09 14:53:25,0.141s,PASSED
click,Firefox 60.0,without giving any inputs,2018-10-09 14:53:25,2018-10-09 14:53:25,0.229s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:25,2018-10-09 14:53:25,0.152s,PASSED
setText,Firefox 60.0,Enter only 'Postcodes' ,2018-10-09 14:53:25,2018-10-09 14:53:25,0.064s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:25,2018-10-09 14:53:25,0.100s,PASSED
click,Firefox 60.0,Should display an error message,2018-10-09 14:53:25,2018-10-09 14:53:26,0.245s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 14:53:26,2018-10-09 14:53:26,0.144s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:26,2018-10-09 14:53:26,0.054s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:26,2018-10-09 14:53:26,0.086s,PASSED
setText,Firefox 60.0,,2018-10-09 14:53:26,2018-10-09 14:53:26,0.072s,PASSED
