Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Performance Report,Chrome 69.0.3497.100,,2018-10-08 17:43:56,2018-10-08 17:46:41,2m - 44.652s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO/Performance Report,Chrome 69.0.3497.100,,2018-10-08 17:43:57,2018-10-08 17:46:41,2m - 44.137s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 17:43:57,2018-10-08 17:44:02,4.128s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 17:44:02,2018-10-08 17:44:03,1.183s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-08 17:44:03,2018-10-08 17:44:04,1.196s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:44:04,2018-10-08 17:44:04,0.289s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:44:04,2018-10-08 17:44:05,0.580s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:05,2018-10-08 17:44:05,0.474s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 17:44:05,2018-10-08 17:44:06,0.207s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:44:06,2018-10-08 17:44:06,0.384s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:06,2018-10-08 17:44:06,0.416s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-08 17:44:06,2018-10-08 17:44:06,0.137s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 17:44:06,2018-10-08 17:44:07,0.097s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-08 17:44:07,2018-10-08 17:44:07,0.367s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:07,2018-10-08 17:44:07,0.404s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-08 17:44:07,2018-10-08 17:44:07,0.145s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 17:44:07,2018-10-08 17:44:08,0.093s,PASSED
click,Chrome 69.0.3497.100,It should display  Login Page,2018-10-08 17:44:08,2018-10-08 17:44:09,0.986s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:09,2018-10-08 17:44:09,0.429s,PASSED
click,Chrome 69.0.3497.100,Click on Performance Report,2018-10-08 17:44:09,2018-10-08 17:44:09,0.277s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:09,2018-10-08 17:44:10,0.410s,PASSED
click,Chrome 69.0.3497.100,Click on LO Performance By Date ,2018-10-08 17:44:10,2018-10-08 17:44:10,0.330s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:44:10,2018-10-08 17:44:10,0.166s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:44:10,2018-10-08 17:44:10,0.189s,PASSED
click,Chrome 69.0.3497.100,Click on 'reset' option,2018-10-08 17:44:10,2018-10-08 17:44:10,0.110s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-08 17:44:10,2018-10-08 17:44:11,0.416s,PASSED
click,Chrome 69.0.3497.100,without giving any inputs,2018-10-08 17:44:11,2018-10-08 17:44:11,0.104s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:11,2018-10-08 17:44:11,0.388s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:44:11,2018-10-08 17:44:11,0.122s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:44:11,2018-10-08 17:44:12,0.114s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Road Tax  ,2018-10-08 17:44:12,2018-10-08 17:44:12,0.331s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:44:12,2018-10-08 17:44:17,5.523s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:17,2018-10-08 17:44:18,0.452s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Insolvency,2018-10-08 17:44:18,2018-10-08 17:44:18,0.285s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:44:18,2018-10-08 17:44:22,4.167s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:22,2018-10-08 17:44:23,0.475s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration,2018-10-08 17:44:23,2018-10-08 17:44:23,0.277s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:44:23,2018-10-08 17:44:28,4.888s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:28,2018-10-08 17:44:28,0.489s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration Maid,2018-10-08 17:44:28,2018-10-08 17:44:29,0.287s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:44:29,2018-10-08 17:44:33,4.146s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 17:44:33,2018-10-08 17:44:33,0.462s,PASSED
