Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ticket,Chrome 69.0.3497.100,,2018-10-19 12:10:24,2018-10-19 12:11:11,47.072s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO/TICKET,Chrome 69.0.3497.100,,2018-10-19 12:10:25,2018-10-19 12:11:11,46.561s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 12:10:25,2018-10-19 12:10:29,4.007s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 12:10:29,2018-10-19 12:10:31,1.218s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 12:10:31,2018-10-19 12:10:32,0.871s,PASSED
setText,Chrome 69.0.3497.100,Click On Usename,2018-10-19 12:10:32,2018-10-19 12:10:32,0.278s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:10:32,2018-10-19 12:10:32,0.382s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:10:32,2018-10-19 12:10:33,0.435s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 12:10:33,2018-10-19 12:10:33,0.234s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:10:33,2018-10-19 12:10:33,0.344s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:10:33,2018-10-19 12:10:34,0.406s,PASSED
setText,Chrome 69.0.3497.100,"Invalid Username&Password

",2018-10-19 12:10:34,2018-10-19 12:10:34,0.175s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 12:10:34,2018-10-19 12:10:34,0.112s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 12:10:34,2018-10-19 12:10:34,0.380s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:10:34,2018-10-19 12:10:35,0.388s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 12:10:35,2018-10-19 12:10:35,0.159s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 12:10:35,2018-10-19 12:10:35,0.133s,PASSED
click,Chrome 69.0.3497.100,It should display Login Page,2018-10-19 12:10:35,2018-10-19 12:10:36,1.001s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:10:36,2018-10-19 12:10:36,0.427s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:10:36,2018-10-19 12:10:37,0.525s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:10:37,2018-10-19 12:10:38,0.813s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:10:38,2018-10-19 12:10:38,0.694s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:10:38,2018-10-19 12:10:39,0.433s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:10:39,2018-10-19 12:10:39,0.089s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:10:39,2018-10-19 12:10:39,0.420s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 12:10:39,2018-10-19 12:10:40,0.764s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Road Tax ,2018-10-19 12:10:40,2018-10-19 12:10:40,0.351s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:10:40,2018-10-19 12:10:41,0.129s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:10:41,2018-10-19 12:10:41,0.099s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 12:10:41,2018-10-19 12:10:41,0.459s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 12:10:41,2018-10-19 12:10:44,2.368s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 12:10:44,2018-10-19 12:10:44,0.562s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:10:44,2018-10-19 12:10:44,0.251s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:10:44,2018-10-19 12:10:45,0.197s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:10:45,2018-10-19 12:10:45,0.151s,PASSED
