Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Record,Chrome 69.0.3497.100,,2018-10-03 15:46:11,2018-10-03 15:46:25,14.018s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO/Verify Record,Chrome 69.0.3497.100,,2018-10-03 15:46:11,2018-10-03 15:46:25,13.514s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-03 15:46:11,2018-10-03 15:46:15,3.976s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-03 15:46:15,2018-10-03 15:46:17,1.113s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-03 15:46:17,2018-10-03 15:46:18,1.194s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:18,2018-10-03 15:46:18,0.309s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 15:46:18,2018-10-03 15:46:18,0.303s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:46:18,2018-10-03 15:46:19,1.104s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:46:19,2018-10-03 15:46:20,0.374s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:20,2018-10-03 15:46:20,0.178s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:20,2018-10-03 15:46:20,0.172s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:20,2018-10-03 15:46:20,0.158s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:46:20,2018-10-03 15:46:21,0.481s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:21,2018-10-03 15:46:21,0.183s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:21,2018-10-03 15:46:21,0.162s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:21,2018-10-03 15:46:21,0.166s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:46:21,2018-10-03 15:46:22,0.232s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:22,2018-10-03 15:46:22,0.181s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:22,2018-10-03 15:46:22,0.219s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:46:22,2018-10-03 15:46:22,0.131s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:46:22,2018-10-03 15:46:23,0.443s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:46:23,2018-10-03 15:46:23,0.671s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:46:23,2018-10-03 15:46:23,0.144s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:46:23,2018-10-03 15:46:24,0.427s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-03 15:46:24,2018-10-03 15:46:25,0.719s,PASSED
