Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Change Password,Chrome 69.0.3497.100,,2018-10-03 14:38:00,2018-10-03 14:38:14,14.087s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/Change Password,Chrome 69.0.3497.100,,2018-10-03 14:38:00,2018-10-03 14:38:14,13.614s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-03 14:38:01,2018-10-03 14:38:05,4.022s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-03 14:38:05,2018-10-03 14:38:06,1.212s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-03 14:38:06,2018-10-03 14:38:09,2.763s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 14:38:09,2018-10-03 14:38:09,0.233s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 14:38:09,2018-10-03 14:38:09,0.226s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:38:09,2018-10-03 14:38:11,1.206s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:38:11,2018-10-03 14:38:11,0.297s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:38:11,2018-10-03 14:38:11,0.074s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 14:38:11,2018-10-03 14:38:11,0.444s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 14:38:11,2018-10-03 14:38:11,0.165s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 14:38:11,2018-10-03 14:38:12,0.132s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 14:38:12,2018-10-03 14:38:12,0.103s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:38:12,2018-10-03 14:38:12,0.062s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 14:38:12,2018-10-03 14:38:12,0.389s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 14:38:12,2018-10-03 14:38:12,0.089s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 14:38:12,2018-10-03 14:38:12,0.090s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 14:38:12,2018-10-03 14:38:12,0.082s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:38:12,2018-10-03 14:38:13,0.306s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 14:38:13,2018-10-03 14:38:13,0.399s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:38:13,2018-10-03 14:38:13,0.240s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-03 14:38:13,2018-10-03 14:38:14,0.670s,PASSED
