Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delivery Report,Chrome 69.0.3497.100,,2018-10-19 12:29:45,2018-10-19 12:31:10,1m - 24.509s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/Delivery Report,Chrome 69.0.3497.100,,2018-10-19 12:29:46,2018-10-19 12:31:10,1m - 23.997s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 12:29:46,2018-10-19 12:29:50,4.081s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 12:29:50,2018-10-19 12:29:52,1.174s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 12:29:52,2018-10-19 12:29:52,0.814s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 12:29:52,2018-10-19 12:29:53,0.245s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:29:53,2018-10-19 12:29:53,0.399s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:29:53,2018-10-19 12:29:53,0.474s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 12:29:53,2018-10-19 12:29:54,0.265s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:29:54,2018-10-19 12:29:54,0.359s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:29:54,2018-10-19 12:29:55,0.408s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 12:29:55,2018-10-19 12:29:55,0.164s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 12:29:55,2018-10-19 12:29:55,0.120s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 12:29:55,2018-10-19 12:29:55,0.381s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:29:55,2018-10-19 12:29:56,0.390s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 12:29:56,2018-10-19 12:29:56,0.148s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 12:29:56,2018-10-19 12:29:56,0.114s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 12:29:56,2018-10-19 12:29:57,0.959s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:29:57,2018-10-19 12:29:57,0.425s,PASSED
click,Chrome 69.0.3497.100,Click On Delivery Report,2018-10-19 12:29:57,2018-10-19 12:29:58,0.361s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:29:58,2018-10-19 12:29:58,0.414s,PASSED
click,Chrome 69.0.3497.100,Click on LO Performance By Date    ,2018-10-19 12:29:58,2018-10-19 12:29:58,0.349s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:29:58,2018-10-19 12:29:59,0.216s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:29:59,2018-10-19 12:29:59,0.169s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 12:29:59,2018-10-19 12:29:59,0.511s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:29:59,2018-10-19 12:30:00,0.380s,PASSED
click,Chrome 69.0.3497.100,"Click on 'reset' option
",2018-10-19 12:30:00,2018-10-19 12:30:00,0.117s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-19 12:30:00,2018-10-19 12:30:00,0.404s,PASSED
click,Chrome 69.0.3497.100,"without giving any inputs
",2018-10-19 12:30:00,2018-10-19 12:30:00,0.095s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:00,2018-10-19 12:30:01,0.385s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:30:01,2018-10-19 12:30:01,0.138s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:30:01,2018-10-19 12:30:01,0.111s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Road Tax  ,2018-10-19 12:30:01,2018-10-19 12:30:01,0.336s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:01,2018-10-19 12:30:02,0.496s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:02,2018-10-19 12:30:02,0.424s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Insolvency,2018-10-19 12:30:02,2018-10-19 12:30:02,0.322s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:02,2018-10-19 12:30:03,0.336s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:03,2018-10-19 12:30:03,0.483s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration,2018-10-19 12:30:03,2018-10-19 12:30:04,0.347s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:04,2018-10-19 12:30:04,0.317s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:04,2018-10-19 12:30:04,0.456s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration Maid,2018-10-19 12:30:04,2018-10-19 12:30:05,0.360s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:05,2018-10-19 12:30:05,0.354s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:05,2018-10-19 12:30:06,0.460s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration FW,2018-10-19 12:30:06,2018-10-19 12:30:06,0.378s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:06,2018-10-19 12:30:06,0.338s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:06,2018-10-19 12:30:07,0.469s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on CDL,2018-10-19 12:30:07,2018-10-19 12:30:07,0.380s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:07,2018-10-19 12:30:07,0.341s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:07,2018-10-19 12:30:08,0.438s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on 1MID,2018-10-19 12:30:08,2018-10-19 12:30:08,0.375s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:08,2018-10-19 12:30:09,0.301s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:09,2018-10-19 12:30:09,0.485s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Spanco Road Tax,2018-10-19 12:30:09,2018-10-19 12:30:09,0.389s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:09,2018-10-19 12:30:10,0.316s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:10,2018-10-19 12:30:10,0.494s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Legalisation,2018-10-19 12:30:10,2018-10-19 12:30:11,0.415s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:11,2018-10-19 12:30:11,0.353s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:11,2018-10-19 12:30:12,0.458s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Legalisation Delivery,2018-10-19 12:30:12,2018-10-19 12:30:12,0.402s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:30:12,2018-10-19 12:30:12,0.381s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:30:12,2018-10-19 12:30:13,0.474s,PASSED
