Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Download apk File,Chrome 69.0.3497.100,,2018-10-19 16:20:14,2018-10-19 16:20:29,15.258s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/Download Apk File,Chrome 69.0.3497.100,,2018-10-19 16:20:15,2018-10-19 16:20:29,14.759s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:20:15,2018-10-19 16:20:19,4.135s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:20:19,2018-10-19 16:20:20,1.162s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:20:20,2018-10-19 16:20:21,0.791s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 16:20:21,2018-10-19 16:20:22,0.367s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:20:22,2018-10-19 16:20:22,0.481s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:20:22,2018-10-19 16:20:22,0.426s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:20:22,2018-10-19 16:20:23,0.262s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:20:23,2018-10-19 16:20:23,0.347s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:20:23,2018-10-19 16:20:24,0.430s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 16:20:24,2018-10-19 16:20:24,0.146s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:20:24,2018-10-19 16:20:24,0.111s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:20:24,2018-10-19 16:20:24,0.341s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:20:24,2018-10-19 16:20:25,0.437s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 16:20:25,2018-10-19 16:20:25,0.147s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:20:25,2018-10-19 16:20:25,0.102s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 16:20:25,2018-10-19 16:20:26,1.298s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:20:26,2018-10-19 16:20:27,0.486s,PASSED
click,Chrome 69.0.3497.100,Click On Download Apk File,2018-10-19 16:20:27,2018-10-19 16:20:27,0.194s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:20:27,2018-10-19 16:20:27,0.376s,PASSED
click,Chrome 69.0.3497.100,Click On BACK,2018-10-19 16:20:27,2018-10-19 16:20:28,0.365s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:20:28,2018-10-19 16:20:28,0.447s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 16:20:28,2018-10-19 16:20:28,0.256s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 16:20:28,2018-10-19 16:20:29,0.464s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 16:20:29,2018-10-19 16:20:29,0.683s,PASSED
