Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Immigration Report,Firefox 60.0,,2018-10-09 15:01:46,2018-10-09 15:02:17,30.426s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/Immigration Report,Firefox 60.0,,2018-10-09 15:01:47,2018-10-09 15:02:17,29.985s,PASSED
openBrowser,Firefox 60.0,,2018-10-09 15:01:47,2018-10-09 15:01:52,4.618s,PASSED
maximizeWindow,Firefox 60.0,,2018-10-09 15:01:52,2018-10-09 15:01:55,3.550s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-09 15:01:55,2018-10-09 15:01:56,0.821s,PASSED
setText,Firefox 60.0,,2018-10-09 15:01:56,2018-10-09 15:01:56,0.144s,PASSED
click,Firefox 60.0,,2018-10-09 15:01:56,2018-10-09 15:01:57,0.650s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:01:57,2018-10-09 15:01:57,0.241s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:01:57,2018-10-09 15:01:57,0.166s,PASSED
click,Firefox 60.0,,2018-10-09 15:01:57,2018-10-09 15:01:58,0.415s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:01:58,2018-10-09 15:01:58,0.149s,PASSED
setText,Firefox 60.0,"Invalid Username&Password
",2018-10-09 15:01:58,2018-10-09 15:01:58,0.068s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:01:58,2018-10-09 15:01:58,0.055s,PASSED
click,Firefox 60.0,It should display an error message,2018-10-09 15:01:58,2018-10-09 15:01:59,0.482s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:01:59,2018-10-09 15:01:59,0.153s,PASSED
setText,Firefox 60.0,"valid Username&Password
",2018-10-09 15:01:59,2018-10-09 15:01:59,0.073s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:01:59,2018-10-09 15:01:59,0.052s,PASSED
click,Firefox 60.0,It should display login page,2018-10-09 15:01:59,2018-10-09 15:02:00,0.927s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:02:00,2018-10-09 15:02:00,0.172s,PASSED
click,Firefox 60.0,Click on Immigration Report,2018-10-09 15:02:00,2018-10-09 15:02:00,0.398s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:02:00,2018-10-09 15:02:01,0.141s,PASSED
click,Firefox 60.0,Click on Immigration Printing Assign Report  ,2018-10-09 15:02:01,2018-10-09 15:02:01,0.402s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:02:01,2018-10-09 15:02:01,0.151s,PASSED
click,Firefox 60.0,"Click on 'reset' option

",2018-10-09 15:02:01,2018-10-09 15:02:01,0.238s,PASSED
takeScreenshot,Firefox 60.0,All the filled-in data should get erased when clicked on the reset link,2018-10-09 15:02:01,2018-10-09 15:02:02,0.145s,PASSED
click,Firefox 60.0,without giving any inputs,2018-10-09 15:02:02,2018-10-09 15:02:02,0.248s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:02:02,2018-10-09 15:02:02,0.180s,PASSED
setText,Firefox 60.0,Enter only 'Postcodes' ,2018-10-09 15:02:02,2018-10-09 15:02:02,0.071s,PASSED
