Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Performance Report,Chrome 69.0.3497.100,,2018-10-19 12:36:30,2018-10-19 12:39:24,2m - 54.110s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/Performance Report,Chrome 69.0.3497.100,,2018-10-19 12:36:30,2018-10-19 12:39:24,2m - 53.619s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 12:36:31,2018-10-19 12:36:35,4.031s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 12:36:35,2018-10-19 12:36:36,1.180s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 12:36:36,2018-10-19 12:36:37,1.018s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 12:36:37,2018-10-19 12:36:37,0.255s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:36:37,2018-10-19 12:36:37,0.399s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:36:37,2018-10-19 12:36:38,0.452s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 12:36:38,2018-10-19 12:36:38,0.262s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:36:38,2018-10-19 12:36:39,0.371s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:36:39,2018-10-19 12:36:39,0.432s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 12:36:39,2018-10-19 12:36:39,0.138s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 12:36:39,2018-10-19 12:36:39,0.119s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 12:36:39,2018-10-19 12:36:40,0.373s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:36:40,2018-10-19 12:36:40,0.394s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 12:36:40,2018-10-19 12:36:40,0.156s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 12:36:40,2018-10-19 12:36:40,0.119s,PASSED
click,Chrome 69.0.3497.100,It should display  Login Page,2018-10-19 12:36:40,2018-10-19 12:36:42,1.664s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:36:42,2018-10-19 12:36:42,0.469s,PASSED
click,Chrome 69.0.3497.100,Click on Performance Report,2018-10-19 12:36:42,2018-10-19 12:36:43,0.354s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:36:43,2018-10-19 12:36:43,0.423s,PASSED
click,Chrome 69.0.3497.100,Click on LO Performance By Date ,2018-10-19 12:36:43,2018-10-19 12:36:44,0.339s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:36:44,2018-10-19 12:36:44,0.216s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:36:44,2018-10-19 12:36:44,0.255s,PASSED
click,Chrome 69.0.3497.100,Click on 'reset' option,2018-10-19 12:36:44,2018-10-19 12:36:44,0.114s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-19 12:36:44,2018-10-19 12:36:45,0.432s,PASSED
click,Chrome 69.0.3497.100,without giving any inputs,2018-10-19 12:36:45,2018-10-19 12:36:45,0.094s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:36:45,2018-10-19 12:36:45,0.397s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:36:45,2018-10-19 12:36:45,0.134s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 12:36:45,2018-10-19 12:36:45,0.115s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Road Tax  ,2018-10-19 12:36:45,2018-10-19 12:36:46,0.477s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:36:46,2018-10-19 12:36:51,5.445s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:36:51,2018-10-19 12:36:52,0.414s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Insolvency,2018-10-19 12:36:52,2018-10-19 12:36:52,0.307s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:36:52,2018-10-19 12:36:56,4.062s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:36:56,2018-10-19 12:36:57,0.519s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration,2018-10-19 12:36:57,2018-10-19 12:36:57,0.372s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:36:57,2018-10-19 12:37:02,4.859s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:37:02,2018-10-19 12:37:02,0.478s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration Maid,2018-10-19 12:37:02,2018-10-19 12:37:03,0.365s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:37:03,2018-10-19 12:37:07,4.097s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:37:07,2018-10-19 12:37:07,0.432s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration FW,2018-10-19 12:37:07,2018-10-19 12:37:08,0.377s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:37:08,2018-10-19 12:37:12,4.516s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:37:12,2018-10-19 12:37:12,0.443s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on CDL,2018-10-19 12:37:12,2018-10-19 12:37:13,0.372s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:37:13,2018-10-19 12:37:17,4.124s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:37:17,2018-10-19 12:37:17,0.458s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on 1MID,2018-10-19 12:37:17,2018-10-19 12:37:18,0.405s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:37:18,2018-10-19 12:37:22,4.041s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:37:22,2018-10-19 12:37:22,0.478s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Spanco Road Tax,2018-10-19 12:37:22,2018-10-19 12:37:23,0.403s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:37:23,2018-10-19 12:37:27,4.168s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:37:27,2018-10-19 12:37:27,0.514s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Legalisation,2018-10-19 12:37:27,2018-10-19 12:37:28,0.409s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:37:28,2018-10-19 12:37:33,4.990s,PASSED
