Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ticket,Chrome 69.0.3497.100,,2018-10-03 14:50:03,2018-10-03 14:50:23,19.363s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/Ticket,Chrome 69.0.3497.100,,2018-10-03 14:50:04,2018-10-03 14:50:22,18.136s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-03 14:50:04,2018-10-03 14:50:08,3.997s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-03 14:50:08,2018-10-03 14:50:10,1.256s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-03 14:50:10,2018-10-03 14:50:11,1.928s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 14:50:11,2018-10-03 14:50:12,0.243s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 14:50:12,2018-10-03 14:50:12,0.239s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:50:12,2018-10-03 14:50:13,1.187s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:50:13,2018-10-03 14:50:14,0.654s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 14:50:14,2018-10-03 14:50:15,0.745s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 14:50:15,2018-10-03 14:50:15,0.362s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 14:50:15,2018-10-03 14:50:15,0.384s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 14:50:15,2018-10-03 14:50:18,2.295s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 14:50:18,2018-10-03 14:50:18,0.570s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 14:50:18,2018-10-03 14:50:18,0.253s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 14:50:18,2018-10-03 14:50:19,0.212s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:50:19,2018-10-03 14:50:19,0.759s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 14:50:19,2018-10-03 14:50:20,0.515s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:50:20,2018-10-03 14:50:20,0.162s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 14:50:20,2018-10-03 14:50:20,0.439s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:50:20,2018-10-03 14:50:21,0.662s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 14:50:21,2018-10-03 14:50:22,0.396s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 14:50:22,2018-10-03 14:50:22,0.445s,PASSED
