Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User MGMT,Chrome 69.0.3497.100,,2018-10-19 12:46:32,2018-10-19 12:46:47,14.920s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/User MGMT,Chrome 69.0.3497.100,,2018-10-19 12:46:33,2018-10-19 12:46:47,14.468s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 12:46:33,2018-10-19 12:46:37,3.905s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 12:46:37,2018-10-19 12:46:38,1.237s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 12:46:38,2018-10-19 12:46:39,0.788s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 12:46:39,2018-10-19 12:46:39,0.331s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:46:39,2018-10-19 12:46:40,0.392s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:46:40,2018-10-19 12:46:40,0.460s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 12:46:40,2018-10-19 12:46:41,0.303s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 12:46:41,2018-10-19 12:46:41,0.378s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:46:41,2018-10-19 12:46:41,0.426s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 12:46:41,2018-10-19 12:46:42,0.143s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 12:46:42,2018-10-19 12:46:42,0.110s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 12:46:42,2018-10-19 12:46:42,0.335s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:46:42,2018-10-19 12:46:42,0.425s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 12:46:42,2018-10-19 12:46:43,0.140s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 12:46:43,2018-10-19 12:46:43,0.104s,PASSED
click,Chrome 69.0.3497.100,It should display Login Page,2018-10-19 12:46:43,2018-10-19 12:46:44,1.240s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:46:44,2018-10-19 12:46:44,0.406s,PASSED
click,Chrome 69.0.3497.100,Click on User MGMT,2018-10-19 12:46:44,2018-10-19 12:46:45,0.226s,PASSED
takeScreenshot,Chrome 69.0.3497.100,Should display an error message 'Invalid Access',2018-10-19 12:46:45,2018-10-19 12:46:45,0.376s,PASSED
click,Chrome 69.0.3497.100,Click On Back,2018-10-19 12:46:45,2018-10-19 12:46:45,0.344s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 12:46:45,2018-10-19 12:46:46,0.429s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 12:46:46,2018-10-19 12:46:46,0.446s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 12:46:46,2018-10-19 12:46:46,0.370s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 12:46:46,2018-10-19 12:46:47,0.663s,PASSED
