Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Record,Chrome 69.0.3497.100,,2018-10-19 13:02:20,2018-10-19 13:03:31,1m - 11.252s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/Verify Record,Chrome 69.0.3497.100,,2018-10-19 13:02:20,2018-10-19 13:03:31,1m - 10.594s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 13:02:21,2018-10-19 13:02:26,4.826s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 13:02:26,2018-10-19 13:02:27,1.442s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 13:02:27,2018-10-19 13:02:28,0.773s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 13:02:28,2018-10-19 13:02:28,0.307s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:02:28,2018-10-19 13:02:29,0.408s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 13:02:29,2018-10-19 13:02:29,0.490s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 13:02:29,2018-10-19 13:02:29,0.251s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 13:02:29,2018-10-19 13:02:30,0.329s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 13:02:30,2018-10-19 13:02:30,0.426s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 13:02:30,2018-10-19 13:02:30,0.130s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 13:02:30,2018-10-19 13:02:30,0.105s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 13:02:30,2018-10-19 13:02:31,0.357s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 13:02:31,2018-10-19 13:02:31,0.431s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 13:02:31,2018-10-19 13:02:31,0.139s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 13:02:31,2018-10-19 13:02:31,0.100s,PASSED
