Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Change Password,Chrome 69.0.3497.100,,2018-10-19 16:51:56,2018-10-19 16:52:11,15.190s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSOADMIN_PrintIMM/Change Password,Chrome 69.0.3497.100,,2018-10-19 16:51:56,2018-10-19 16:52:11,14.710s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:51:57,2018-10-19 16:52:01,4.037s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:52:01,2018-10-19 16:52:02,1.178s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:52:02,2018-10-19 16:52:03,1.283s,PASSED
setText,Chrome 69.0.3497.100,Click On User Name,2018-10-19 16:52:03,2018-10-19 16:52:04,0.237s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:52:04,2018-10-19 16:52:04,0.514s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:52:04,2018-10-19 16:52:05,0.480s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:52:05,2018-10-19 16:52:05,0.242s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:52:05,2018-10-19 16:52:05,0.297s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:52:05,2018-10-19 16:52:05,0.419s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 16:52:05,2018-10-19 16:52:06,0.157s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:52:06,2018-10-19 16:52:06,0.105s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:52:06,2018-10-19 16:52:06,0.337s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:52:06,2018-10-19 16:52:07,0.403s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 16:52:07,2018-10-19 16:52:07,0.134s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:52:07,2018-10-19 16:52:07,0.111s,PASSED
click,Chrome 69.0.3497.100,It should display Login Page,2018-10-19 16:52:07,2018-10-19 16:52:08,1.024s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:52:08,2018-10-19 16:52:08,0.437s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:52:08,2018-10-19 16:52:09,0.315s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:52:09,2018-10-19 16:52:09,0.153s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:52:09,2018-10-19 16:52:09,0.148s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:52:09,2018-10-19 16:52:09,0.137s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:52:09,2018-10-19 16:52:09,0.094s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:52:09,2018-10-19 16:52:09,0.433s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 16:52:09,2018-10-19 16:52:10,0.500s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 16:52:10,2018-10-19 16:52:10,0.427s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 16:52:10,2018-10-19 16:52:11,0.697s,PASSED
