Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delivery Report,Chrome 69.0.3497.100,,2018-10-08 18:01:15,2018-10-08 18:02:33,1m - 17.346s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSOADMIN_PrintIMM/Delivery Report,Chrome 69.0.3497.100,,2018-10-08 18:01:16,2018-10-08 18:02:33,1m - 16.827s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 18:01:16,2018-10-08 18:01:20,4.070s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 18:01:20,2018-10-08 18:01:22,1.197s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-08 18:01:22,2018-10-08 18:01:23,1.051s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 18:01:23,2018-10-08 18:01:23,0.214s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:23,2018-10-08 18:01:23,0.387s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:23,2018-10-08 18:01:24,0.464s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 18:01:24,2018-10-08 18:01:24,0.229s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:24,2018-10-08 18:01:24,0.380s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:24,2018-10-08 18:01:25,0.425s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-08 18:01:25,2018-10-08 18:01:25,0.134s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 18:01:25,2018-10-08 18:01:25,0.097s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-08 18:01:25,2018-10-08 18:01:25,0.361s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:25,2018-10-08 18:01:26,0.423s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-08 18:01:26,2018-10-08 18:01:26,0.124s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 18:01:26,2018-10-08 18:01:26,0.089s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-08 18:01:26,2018-10-08 18:01:27,0.990s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:27,2018-10-08 18:01:27,0.464s,PASSED
click,Chrome 69.0.3497.100,Click On Delivery Report,2018-10-08 18:01:27,2018-10-08 18:01:28,0.334s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:28,2018-10-08 18:01:28,0.415s,PASSED
click,Chrome 69.0.3497.100,Click on LO Performance By Date    ,2018-10-08 18:01:28,2018-10-08 18:01:28,0.332s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 18:01:28,2018-10-08 18:01:29,0.179s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 18:01:29,2018-10-08 18:01:29,0.189s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-08 18:01:29,2018-10-08 18:01:29,0.301s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:29,2018-10-08 18:01:30,0.391s,PASSED
click,Chrome 69.0.3497.100,"Click on 'reset' option
",2018-10-08 18:01:30,2018-10-08 18:01:30,0.111s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-08 18:01:30,2018-10-08 18:01:30,0.387s,PASSED
click,Chrome 69.0.3497.100,"without giving any inputs
",2018-10-08 18:01:30,2018-10-08 18:01:30,0.101s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:30,2018-10-08 18:01:31,0.396s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 18:01:31,2018-10-08 18:01:31,0.122s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 18:01:31,2018-10-08 18:01:31,0.110s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Road Tax  ,2018-10-08 18:01:31,2018-10-08 18:01:31,0.259s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:31,2018-10-08 18:01:31,0.444s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:31,2018-10-08 18:01:32,0.462s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Insolvency,2018-10-08 18:01:32,2018-10-08 18:01:32,0.277s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:32,2018-10-08 18:01:32,0.288s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:32,2018-10-08 18:01:33,0.435s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration,2018-10-08 18:01:33,2018-10-08 18:01:33,0.272s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:33,2018-10-08 18:01:34,0.353s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:34,2018-10-08 18:01:34,0.472s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration Maid,2018-10-08 18:01:34,2018-10-08 18:01:34,0.312s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:34,2018-10-08 18:01:35,0.287s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:35,2018-10-08 18:01:35,0.452s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Immigration FW,2018-10-08 18:01:35,2018-10-08 18:01:35,0.295s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:35,2018-10-08 18:01:36,0.330s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:36,2018-10-08 18:01:36,0.448s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on CDL,2018-10-08 18:01:36,2018-10-08 18:01:36,0.306s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:36,2018-10-08 18:01:37,0.364s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:37,2018-10-08 18:01:37,0.459s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on 1MID,2018-10-08 18:01:37,2018-10-08 18:01:38,0.289s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:38,2018-10-08 18:01:38,0.330s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:38,2018-10-08 18:01:38,0.474s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Spanco Road Tax,2018-10-08 18:01:38,2018-10-08 18:01:39,0.308s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:39,2018-10-08 18:01:39,0.366s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:39,2018-10-08 18:01:39,0.444s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Legalisation,2018-10-08 18:01:39,2018-10-08 18:01:40,0.305s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:40,2018-10-08 18:01:40,0.282s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:40,2018-10-08 18:01:41,0.493s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Legalisation Delivery,2018-10-08 18:01:41,2018-10-08 18:01:41,0.329s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:41,2018-10-08 18:01:41,0.401s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:41,2018-10-08 18:01:42,0.433s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Roadtax SS,2018-10-08 18:01:42,2018-10-08 18:01:42,0.333s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:42,2018-10-08 18:01:42,0.298s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:42,2018-10-08 18:01:43,0.422s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on JPJ1M,2018-10-08 18:01:43,2018-10-08 18:01:43,0.313s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:43,2018-10-08 18:01:43,0.269s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:43,2018-10-08 18:01:44,0.489s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on IMI1M,2018-10-08 18:01:44,2018-10-08 18:01:44,0.317s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:44,2018-10-08 18:01:45,0.368s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:01:45,2018-10-08 18:01:45,0.446s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on ETMS,2018-10-08 18:01:45,2018-10-08 18:01:45,0.333s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:01:45,2018-10-08 18:01:46,0.303s,PASSED
