Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Download Apk File,Chrome 69.0.3497.100,,2018-10-19 15:12:16,2018-10-19 15:12:33,16.691s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSOADMIN_PrintIMM/Download Apk File,Chrome 69.0.3497.100,,2018-10-19 15:12:17,2018-10-19 15:12:33,16.158s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 15:12:17,2018-10-19 15:12:21,4.029s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 15:12:21,2018-10-19 15:12:22,1.189s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 15:12:22,2018-10-19 15:12:24,2.231s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 15:12:24,2018-10-19 15:12:25,0.257s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:12:25,2018-10-19 15:12:25,0.545s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:12:25,2018-10-19 15:12:26,0.443s,PASSED
setEncryptedText,Chrome 69.0.3497.100,"Click On password
",2018-10-19 15:12:26,2018-10-19 15:12:26,0.296s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:12:26,2018-10-19 15:12:26,0.544s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:12:26,2018-10-19 15:12:27,0.396s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 15:12:27,2018-10-19 15:12:27,0.155s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:12:27,2018-10-19 15:12:27,0.116s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 15:12:27,2018-10-19 15:12:28,0.459s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:12:28,2018-10-19 15:12:28,0.391s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 15:12:28,2018-10-19 15:12:28,0.157s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:12:28,2018-10-19 15:12:28,0.118s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 15:12:28,2018-10-19 15:12:30,1.410s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:12:30,2018-10-19 15:12:30,0.419s,PASSED
click,Chrome 69.0.3497.100,Click On Download Apk File,2018-10-19 15:12:30,2018-10-19 15:12:30,0.211s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:12:30,2018-10-19 15:12:31,0.356s,PASSED
click,Chrome 69.0.3497.100,Click On BACK,2018-10-19 15:12:31,2018-10-19 15:12:31,0.290s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:12:31,2018-10-19 15:12:31,0.441s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 15:12:31,2018-10-19 15:12:32,0.245s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 15:12:32,2018-10-19 15:12:32,0.429s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 15:12:32,2018-10-19 15:12:33,0.676s,PASSED
