Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Immigration Report,Chrome 69.0.3497.100,,2018-10-19 16:41:29,2018-10-19 16:42:07,37.651s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSOADMIN_PrintIMM/Immigration Report,Chrome 69.0.3497.100,,2018-10-19 16:41:30,2018-10-19 16:42:07,37.138s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:41:30,2018-10-19 16:41:34,4.128s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:41:34,2018-10-19 16:41:36,1.227s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:41:36,2018-10-19 16:41:36,0.775s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 16:41:36,2018-10-19 16:41:37,0.292s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:37,2018-10-19 16:41:38,0.755s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:38,2018-10-19 16:41:38,0.499s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:41:38,2018-10-19 16:41:38,0.260s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:38,2018-10-19 16:41:39,0.390s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:39,2018-10-19 16:41:39,0.428s,PASSED
setText,Chrome 69.0.3497.100,"Invalid Username&Password
",2018-10-19 16:41:39,2018-10-19 16:41:39,0.156s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:41:39,2018-10-19 16:41:39,0.123s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:41:39,2018-10-19 16:41:40,0.356s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:40,2018-10-19 16:41:40,0.418s,PASSED
setText,Chrome 69.0.3497.100,"valid Username&Password
",2018-10-19 16:41:40,2018-10-19 16:41:40,0.132s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:41:40,2018-10-19 16:41:40,0.101s,PASSED
click,Chrome 69.0.3497.100,It should display login page,2018-10-19 16:41:40,2018-10-19 16:41:41,1.022s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:41,2018-10-19 16:41:42,0.439s,PASSED
click,Chrome 69.0.3497.100,Click on Immigration Report,2018-10-19 16:41:42,2018-10-19 16:41:42,0.301s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:42,2018-10-19 16:41:43,0.431s,PASSED
click,Chrome 69.0.3497.100,Click on Immigration Printing Assign Report  ,2018-10-19 16:41:43,2018-10-19 16:41:43,0.304s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:43,2018-10-19 16:41:43,0.446s,PASSED
click,Chrome 69.0.3497.100,"Click on 'reset' option

",2018-10-19 16:41:43,2018-10-19 16:41:43,0.114s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-19 16:41:43,2018-10-19 16:41:44,0.408s,PASSED
click,Chrome 69.0.3497.100,without giving any inputs,2018-10-19 16:41:44,2018-10-19 16:41:44,0.092s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:44,2018-10-19 16:41:44,0.417s,PASSED
setText,Chrome 69.0.3497.100,Enter only 'Postcodes' ,2018-10-19 16:41:44,2018-10-19 16:41:45,0.173s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:45,2018-10-19 16:41:45,0.141s,PASSED
click,Chrome 69.0.3497.100,Should display an error message,2018-10-19 16:41:45,2018-10-19 16:41:45,0.060s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:45,2018-10-19 16:41:45,0.419s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:45,2018-10-19 16:41:45,0.185s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:45,2018-10-19 16:41:45,0.099s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:45,2018-10-19 16:41:46,0.520s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:46,2018-10-19 16:41:46,0.449s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:46,2018-10-19 16:41:47,0.148s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:47,2018-10-19 16:41:47,0.406s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:47,2018-10-19 16:41:47,0.451s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:47,2018-10-19 16:41:48,0.172s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:48,2018-10-19 16:41:48,0.123s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:48,2018-10-19 16:41:48,0.327s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:48,2018-10-19 16:41:48,0.440s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:48,2018-10-19 16:41:49,0.135s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:49,2018-10-19 16:41:49,0.121s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:49,2018-10-19 16:41:49,0.290s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:49,2018-10-19 16:41:49,0.426s,PASSED
click,Chrome 69.0.3497.100,Click on Immigration Report,2018-10-19 16:41:49,2018-10-19 16:41:50,0.281s,PASSED
click,Chrome 69.0.3497.100,Click on Immigration Delivery performance Report_FW  ,2018-10-19 16:41:50,2018-10-19 16:41:50,0.282s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:50,2018-10-19 16:41:50,0.453s,PASSED
click,Chrome 69.0.3497.100,"Click on 'reset' option
",2018-10-19 16:41:50,2018-10-19 16:41:51,0.087s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-19 16:41:51,2018-10-19 16:41:51,0.420s,PASSED
click,Chrome 69.0.3497.100,without giving any inputs,2018-10-19 16:41:51,2018-10-19 16:41:51,0.084s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:51,2018-10-19 16:41:51,0.402s,PASSED
setText,Chrome 69.0.3497.100,Enter only 'Postcodes' ,2018-10-19 16:41:51,2018-10-19 16:41:52,0.145s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:52,2018-10-19 16:41:52,0.119s,PASSED
click,Chrome 69.0.3497.100,Should display an error message,2018-10-19 16:41:52,2018-10-19 16:41:52,0.056s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:52,2018-10-19 16:41:52,0.417s,PASSED
setText,Chrome 69.0.3497.100,date range more than one month ,2018-10-19 16:41:52,2018-10-19 16:41:52,0.168s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:52,2018-10-19 16:41:53,0.168s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:53,2018-10-19 16:41:53,0.079s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:53,2018-10-19 16:41:53,0.048s,PASSED
acceptAlert,Chrome 69.0.3497.100,,2018-10-19 16:41:53,2018-10-19 16:41:53,0.027s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:53,2018-10-19 16:41:53,0.458s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:53,2018-10-19 16:41:53,0.106s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:53,2018-10-19 16:41:53,0.119s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:53,2018-10-19 16:41:53,0.096s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:53,2018-10-19 16:41:54,0.330s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:54,2018-10-19 16:41:54,0.503s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:54,2018-10-19 16:41:54,0.128s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:54,2018-10-19 16:41:55,0.390s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:55,2018-10-19 16:41:55,0.487s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:55,2018-10-19 16:41:55,0.139s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:55,2018-10-19 16:41:56,0.112s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:56,2018-10-19 16:41:56,0.350s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:56,2018-10-19 16:41:56,0.398s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:56,2018-10-19 16:41:56,0.157s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:41:56,2018-10-19 16:41:57,0.118s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:41:57,2018-10-19 16:41:57,0.325s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:57,2018-10-19 16:41:57,0.422s,PASSED
click,Chrome 69.0.3497.100,Click on Immigration Report,2018-10-19 16:41:57,2018-10-19 16:41:58,0.241s,PASSED
click,Chrome 69.0.3497.100,Click on Immigration Delivery performance Report_MD       ,2018-10-19 16:41:58,2018-10-19 16:41:58,0.280s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:58,2018-10-19 16:41:58,0.422s,PASSED
click,Chrome 69.0.3497.100,Click on 'reset' option,2018-10-19 16:41:58,2018-10-19 16:41:58,0.087s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-19 16:41:58,2018-10-19 16:41:59,0.423s,PASSED
click,Chrome 69.0.3497.100,without giving any inputs,2018-10-19 16:41:59,2018-10-19 16:41:59,0.092s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:41:59,2018-10-19 16:41:59,0.413s,PASSED
setText,Chrome 69.0.3497.100,Enter only 'Postcodes' ,2018-10-19 16:41:59,2018-10-19 16:41:59,0.123s,PASSED
