Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Performance Report,Chrome 69.0.3497.100,,2018-10-19 15:15:03,2018-10-19 15:17:58,2m - 54.728s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSOADMIN_PrintIMM/Performance Report,Chrome 69.0.3497.100,,2018-10-19 15:15:04,2018-10-19 15:17:58,2m - 54.140s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 15:15:05,2018-10-19 15:15:09,4.094s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 15:15:09,2018-10-19 15:15:10,1.177s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 15:15:10,2018-10-19 15:15:11,1.250s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 15:15:11,2018-10-19 15:15:11,0.232s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:15:11,2018-10-19 15:15:12,0.428s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:15:12,2018-10-19 15:15:12,0.459s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 15:15:12,2018-10-19 15:15:12,0.242s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:15:12,2018-10-19 15:15:13,0.435s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:15:13,2018-10-19 15:15:13,0.440s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 15:15:13,2018-10-19 15:15:13,0.147s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:15:13,2018-10-19 15:15:14,0.106s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 15:15:14,2018-10-19 15:15:14,0.368s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:15:14,2018-10-19 15:15:14,0.424s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 15:15:14,2018-10-19 15:15:14,0.137s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:15:14,2018-10-19 15:15:15,0.101s,PASSED
