Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ticket,Chrome 69.0.3497.100,,2018-10-19 15:18:31,2018-10-19 15:19:21,50.001s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSOADMIN_PrintIMM/Ticket,Chrome 69.0.3497.100,,2018-10-19 15:18:31,2018-10-19 15:19:21,49.311s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 15:18:32,2018-10-19 15:18:37,4.946s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 15:18:37,2018-10-19 15:18:38,1.163s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 15:18:38,2018-10-19 15:18:39,1.071s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 15:18:39,2018-10-19 15:18:40,0.308s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:18:40,2018-10-19 15:18:40,0.472s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:18:40,2018-10-19 15:18:40,0.464s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 15:18:40,2018-10-19 15:18:41,0.270s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:18:41,2018-10-19 15:18:41,0.400s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:18:41,2018-10-19 15:18:42,0.398s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 15:18:42,2018-10-19 15:18:42,0.169s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:18:42,2018-10-19 15:18:42,0.130s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:18:42,2018-10-19 15:18:42,0.402s,PASSED
takeScreenshot,Chrome 69.0.3497.100,It should display an error message,2018-10-19 15:18:42,2018-10-19 15:18:43,0.422s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 15:18:43,2018-10-19 15:18:43,0.180s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:18:43,2018-10-19 15:18:43,0.146s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:18:43,2018-10-19 15:18:44,1.218s,PASSED
takeScreenshot,Chrome 69.0.3497.100,It should display  Login Page,2018-10-19 15:18:44,2018-10-19 15:18:45,0.488s,PASSED
click,Chrome 69.0.3497.100,Click On Ticket,2018-10-19 15:18:45,2018-10-19 15:18:45,0.612s,PASSED
takeScreenshot,Chrome 69.0.3497.100,Tickets page should be displayed,2018-10-19 15:18:45,2018-10-19 15:18:46,0.437s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:18:46,2018-10-19 15:18:47,0.838s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:18:47,2018-10-19 15:18:47,0.791s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:18:47,2018-10-19 15:18:48,0.480s,PASSED
click,Chrome 69.0.3497.100,Click on 'reset' option,2018-10-19 15:18:48,2018-10-19 15:18:48,0.122s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-19 15:18:48,2018-10-19 15:18:48,0.464s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:18:48,2018-10-19 15:18:49,0.939s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Road Tax ,2018-10-19 15:18:49,2018-10-19 15:18:50,0.483s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:18:50,2018-10-19 15:18:50,0.150s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:18:50,2018-10-19 15:18:50,0.107s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:18:50,2018-10-19 15:18:51,0.493s,PASSED
