Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Record,Chrome 69.0.3497.100,,2018-10-03 15:10:57,2018-10-03 15:11:33,36.829s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSOADMIN_PrintIMM/Verify Record,Chrome 69.0.3497.100,,2018-10-03 15:10:57,2018-10-03 15:11:33,35.582s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-03 15:10:58,2018-10-03 15:11:02,4.029s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-03 15:11:02,2018-10-03 15:11:03,1.201s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-03 15:11:03,2018-10-03 15:11:04,0.949s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:11:04,2018-10-03 15:11:04,0.237s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-03 15:11:04,2018-10-03 15:11:04,0.276s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:04,2018-10-03 15:11:05,1.145s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:05,2018-10-03 15:11:06,0.545s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:06,2018-10-03 15:11:06,0.367s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:11:06,2018-10-03 15:11:07,0.188s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-03 15:11:07,2018-10-03 15:11:07,0.167s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:07,2018-10-03 15:11:09,2.684s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:09,2018-10-03 15:11:10,0.586s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:10,2018-10-03 15:11:10,0.397s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:10,2018-10-03 15:11:11,1.072s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:11,2018-10-03 15:11:12,0.422s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:12,2018-10-03 15:11:12,0.310s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:12,2018-10-03 15:11:13,0.555s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:13,2018-10-03 15:11:13,0.443s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:13,2018-10-03 15:11:14,0.318s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:14,2018-10-03 15:11:14,0.580s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:14,2018-10-03 15:11:15,0.481s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:15,2018-10-03 15:11:15,0.369s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:15,2018-10-03 15:11:16,0.639s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:16,2018-10-03 15:11:16,0.458s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:16,2018-10-03 15:11:16,0.396s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:16,2018-10-03 15:11:17,0.433s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:17,2018-10-03 15:11:17,0.473s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:17,2018-10-03 15:11:18,0.375s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:18,2018-10-03 15:11:18,0.540s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:18,2018-10-03 15:11:19,0.479s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:19,2018-10-03 15:11:19,0.390s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:19,2018-10-03 15:11:20,0.568s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:20,2018-10-03 15:11:20,0.502s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:20,2018-10-03 15:11:21,0.417s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:21,2018-10-03 15:11:21,0.542s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:21,2018-10-03 15:11:22,0.503s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:22,2018-10-03 15:11:22,0.435s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:22,2018-10-03 15:11:23,0.540s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:23,2018-10-03 15:11:23,0.461s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:23,2018-10-03 15:11:23,0.383s,PASSED
click,Chrome 69.0.3497.100,,2018-10-03 15:11:23,2018-10-03 15:11:24,0.607s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-03 15:11:24,2018-10-03 15:11:25,0.442s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-03 15:11:25,2018-10-03 15:11:25,0.439s,PASSED
