Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Change Password,Chrome 69.0.3497.100,,2018-10-04 15:35:41,2018-10-04 15:35:54,12.957s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_LEAD/Change Password,Chrome 69.0.3497.100,,2018-10-04 15:35:42,2018-10-04 15:35:54,12.461s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:35:42,2018-10-04 15:35:46,3.903s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-04 15:35:46,2018-10-04 15:35:47,1.186s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:35:47,2018-10-04 15:35:49,1.967s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:35:49,2018-10-04 15:35:49,0.205s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:35:49,2018-10-04 15:35:50,0.216s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:35:50,2018-10-04 15:35:51,1.178s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:35:51,2018-10-04 15:35:51,0.268s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:35:51,2018-10-04 15:35:51,0.128s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:35:51,2018-10-04 15:35:51,0.142s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:35:51,2018-10-04 15:35:52,0.151s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:35:52,2018-10-04 15:35:52,0.080s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-04 15:35:52,2018-10-04 15:35:52,0.503s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:35:52,2018-10-04 15:35:52,0.122s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:35:52,2018-10-04 15:35:52,0.104s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:35:52,2018-10-04 15:35:52,0.101s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:35:52,2018-10-04 15:35:53,0.410s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-04 15:35:53,2018-10-04 15:35:53,0.384s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:35:53,2018-10-04 15:35:54,0.272s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-04 15:35:54,2018-10-04 15:35:54,0.667s,PASSED
