Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delivery Report,Chrome 69.0.3497.100,,2018-10-08 18:11:18,2018-10-08 18:12:55,1m - 36.287s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_LEAD/Delivery Report,Chrome 69.0.3497.100,,2018-10-08 18:11:19,2018-10-08 18:12:55,1m - 35.781s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 18:11:19,2018-10-08 18:11:24,4.179s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 18:11:24,2018-10-08 18:11:25,1.176s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-08 18:11:25,2018-10-08 18:11:26,0.987s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 18:11:26,2018-10-08 18:11:26,0.213s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:11:26,2018-10-08 18:11:26,0.349s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:11:26,2018-10-08 18:11:27,0.438s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 18:11:27,2018-10-08 18:11:27,0.227s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 18:11:27,2018-10-08 18:11:27,0.383s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:11:27,2018-10-08 18:11:28,0.430s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-08 18:11:28,2018-10-08 18:11:28,0.137s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 18:11:28,2018-10-08 18:11:28,0.098s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-08 18:11:28,2018-10-08 18:11:28,0.347s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 18:11:28,2018-10-08 18:11:29,0.426s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-08 18:11:29,2018-10-08 18:11:29,0.130s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 18:11:29,2018-10-08 18:11:29,0.089s,PASSED
