Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Download Apk File,Chrome 69.0.3497.100,,2018-10-19 16:22:40,2018-10-19 16:22:55,15.235s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_LEAD/Download Apk File,Chrome 69.0.3497.100,,2018-10-19 16:22:41,2018-10-19 16:22:55,14.555s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:22:41,2018-10-19 16:22:45,3.944s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:22:45,2018-10-19 16:22:46,1.176s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:22:46,2018-10-19 16:22:48,1.167s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 16:22:48,2018-10-19 16:22:48,0.243s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:22:48,2018-10-19 16:22:48,0.445s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:22:48,2018-10-19 16:22:49,0.429s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:22:49,2018-10-19 16:22:49,0.227s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:22:49,2018-10-19 16:22:49,0.332s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:22:49,2018-10-19 16:22:50,0.427s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 16:22:50,2018-10-19 16:22:50,0.146s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:22:50,2018-10-19 16:22:50,0.104s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:22:50,2018-10-19 16:22:50,0.340s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:22:50,2018-10-19 16:22:51,0.425s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 16:22:51,2018-10-19 16:22:51,0.135s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:22:51,2018-10-19 16:22:51,0.102s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 16:22:51,2018-10-19 16:22:52,1.005s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:22:52,2018-10-19 16:22:52,0.452s,PASSED
click,Chrome 69.0.3497.100,Click On Download Apk File,2018-10-19 16:22:52,2018-10-19 16:22:53,0.214s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:22:53,2018-10-19 16:22:53,0.586s,PASSED
click,Chrome 69.0.3497.100,Click On BACK,2018-10-19 16:22:53,2018-10-19 16:22:54,0.393s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:22:54,2018-10-19 16:22:54,0.457s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 16:22:54,2018-10-19 16:22:54,0.313s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 16:22:54,2018-10-19 16:22:55,0.398s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 16:22:55,2018-10-19 16:22:55,0.715s,PASSED
