Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Performance Report,Chrome 69.0.3497.100,,2018-10-19 15:38:05,2018-10-19 15:41:02,2m - 57.151s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_LEAD/Performance Report,Chrome 69.0.3497.100,,2018-10-19 15:38:06,2018-10-19 15:41:02,2m - 56.606s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 15:38:06,2018-10-19 15:38:10,4.035s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 15:38:10,2018-10-19 15:38:11,1.184s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 15:38:11,2018-10-19 15:38:16,4.698s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 15:38:16,2018-10-19 15:38:16,0.240s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:38:16,2018-10-19 15:38:17,0.474s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:38:17,2018-10-19 15:38:17,0.427s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 15:38:17,2018-10-19 15:38:18,0.267s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:38:18,2018-10-19 15:38:18,0.498s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:38:18,2018-10-19 15:38:18,0.421s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 15:38:18,2018-10-19 15:38:19,0.167s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:38:19,2018-10-19 15:38:19,0.117s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 15:38:19,2018-10-19 15:38:19,0.486s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:38:19,2018-10-19 15:38:20,0.388s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 15:38:20,2018-10-19 15:38:20,0.154s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:38:20,2018-10-19 15:38:20,0.113s,PASSED
click,Chrome 69.0.3497.100,It should display  Login Page,2018-10-19 15:38:20,2018-10-19 15:38:21,1.309s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:38:21,2018-10-19 15:38:22,0.429s,PASSED
click,Chrome 69.0.3497.100,Click on Performance Report,2018-10-19 15:38:22,2018-10-19 15:38:22,0.349s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:38:22,2018-10-19 15:38:22,0.416s,PASSED
click,Chrome 69.0.3497.100,Click on LO Performance By Date ,2018-10-19 15:38:22,2018-10-19 15:38:23,0.344s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 15:38:23,2018-10-19 15:38:23,0.189s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 15:38:23,2018-10-19 15:38:23,0.182s,PASSED
click,Chrome 69.0.3497.100,Click on 'reset' option,2018-10-19 15:38:23,2018-10-19 15:38:23,0.094s,PASSED
