Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ticket,Chrome 69.0.3497.100,,2018-10-19 15:41:24,2018-10-19 15:41:59,34.707s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_LEAD/Ticket,Chrome 69.0.3497.100,,2018-10-19 15:41:24,2018-10-19 15:41:59,34.261s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 15:41:25,2018-10-19 15:41:29,4.125s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 15:41:29,2018-10-19 15:41:30,1.217s,PASSED
takeScreenshot,Chrome 69.0.3497.100,Login Page,2018-10-19 15:41:30,2018-10-19 15:41:31,0.354s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 15:41:31,2018-10-19 15:41:38,7.216s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 15:41:38,2018-10-19 15:41:38,0.232s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:41:38,2018-10-19 15:41:39,0.638s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:41:39,2018-10-19 15:41:39,0.452s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 15:41:39,2018-10-19 15:41:39,0.232s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:41:39,2018-10-19 15:41:40,0.487s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:41:40,2018-10-19 15:41:40,0.443s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 15:41:40,2018-10-19 15:41:40,0.140s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:41:40,2018-10-19 15:41:41,0.108s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 15:41:41,2018-10-19 15:41:41,0.422s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:41:41,2018-10-19 15:41:41,0.397s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 15:41:41,2018-10-19 15:41:42,0.147s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:41:42,2018-10-19 15:41:42,0.107s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 15:41:42,2018-10-19 15:41:44,2.414s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:41:44,2018-10-19 15:41:45,0.443s,PASSED
click,Chrome 69.0.3497.100,Click On Ticket,2018-10-19 15:41:45,2018-10-19 15:41:46,1.074s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:41:46,2018-10-19 15:41:46,0.435s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:41:46,2018-10-19 15:41:47,0.751s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:41:47,2018-10-19 15:41:47,0.369s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:41:47,2018-10-19 15:41:48,0.422s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:41:48,2018-10-19 15:41:50,2.428s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:41:50,2018-10-19 15:41:51,0.560s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 15:41:51,2018-10-19 15:41:51,0.235s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 15:41:51,2018-10-19 15:41:51,0.201s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:41:51,2018-10-19 15:41:54,3.208s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:41:54,2018-10-19 15:41:55,0.596s,PASSED
click,Chrome 69.0.3497.100,Click On Reset,2018-10-19 15:41:55,2018-10-19 15:41:55,0.097s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-19 15:41:55,2018-10-19 15:41:55,0.430s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:41:55,2018-10-19 15:41:56,1.081s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:41:56,2018-10-19 15:41:57,0.448s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 15:41:57,2018-10-19 15:41:58,0.692s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 15:41:58,2018-10-19 15:41:58,0.395s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 15:41:58,2018-10-19 15:41:59,0.744s,PASSED
