Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User MGMT,Firefox 60.0,,2018-10-09 15:19:36,2018-10-09 15:19:51,15.000s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_LEAD/User MGMT,Firefox 60.0,,2018-10-09 15:19:36,2018-10-09 15:19:50,14.344s,PASSED
openBrowser,Firefox 60.0,,2018-10-09 15:19:36,2018-10-09 15:19:41,4.467s,PASSED
maximizeWindow,Firefox 60.0,,2018-10-09 15:19:41,2018-10-09 15:19:44,3.636s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-09 15:19:44,2018-10-09 15:19:45,0.824s,PASSED
setText,Firefox 60.0,,2018-10-09 15:19:45,2018-10-09 15:19:45,0.213s,PASSED
click,Firefox 60.0,,2018-10-09 15:19:45,2018-10-09 15:19:46,0.485s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:19:46,2018-10-09 15:19:46,0.242s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:19:46,2018-10-09 15:19:46,0.189s,PASSED
click,Firefox 60.0,,2018-10-09 15:19:46,2018-10-09 15:19:47,0.409s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:19:47,2018-10-09 15:19:47,0.136s,PASSED
setText,Firefox 60.0,Invalid Username&Password,2018-10-09 15:19:47,2018-10-09 15:19:47,0.059s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:19:47,2018-10-09 15:19:47,0.047s,PASSED
click,Firefox 60.0,It should display an error message,2018-10-09 15:19:47,2018-10-09 15:19:47,0.423s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:19:47,2018-10-09 15:19:48,0.153s,PASSED
setText,Firefox 60.0,valid Username&Password,2018-10-09 15:19:48,2018-10-09 15:19:48,0.071s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:19:48,2018-10-09 15:19:48,0.047s,PASSED
click,Firefox 60.0,It should display Login Page,2018-10-09 15:19:48,2018-10-09 15:19:49,1.232s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:19:49,2018-10-09 15:19:49,0.165s,PASSED
click,Firefox 60.0,Click on User MGMT,2018-10-09 15:19:49,2018-10-09 15:19:49,0.155s,PASSED
takeScreenshot,Firefox 60.0,Should display an error message 'Invalid Access',2018-10-09 15:19:49,2018-10-09 15:19:49,0.121s,PASSED
click,Firefox 60.0,,2018-10-09 15:19:49,2018-10-09 15:19:49,0.074s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:19:49,2018-10-09 15:19:50,0.134s,PASSED
click,Firefox 60.0,,2018-10-09 15:19:50,2018-10-09 15:19:50,0.685s,PASSED
