Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Record,Chrome 69.0.3497.100,,2018-10-19 15:43:03,2018-10-19 15:43:49,45.721s,PASSED
,,,,,,
Test Cases/Logistics/Roles/CSO_LEAD/Verify Record,Chrome 69.0.3497.100,,2018-10-19 15:43:04,2018-10-19 15:43:49,45.221s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 15:43:04,2018-10-19 15:43:08,4.054s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 15:43:08,2018-10-19 15:43:09,1.190s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 15:43:09,2018-10-19 15:43:12,2.489s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 15:43:12,2018-10-19 15:43:12,0.251s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:43:12,2018-10-19 15:43:13,0.455s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:13,2018-10-19 15:43:13,0.462s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click Password,2018-10-19 15:43:13,2018-10-19 15:43:13,0.230s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:43:13,2018-10-19 15:43:14,0.383s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:14,2018-10-19 15:43:14,0.420s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 15:43:14,2018-10-19 15:43:14,0.167s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:43:14,2018-10-19 15:43:14,0.122s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 15:43:14,2018-10-19 15:43:15,0.823s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:15,2018-10-19 15:43:16,0.383s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 15:43:16,2018-10-19 15:43:16,0.159s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 15:43:16,2018-10-19 15:43:16,0.122s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 15:43:16,2018-10-19 15:43:17,1.570s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:17,2018-10-19 15:43:18,0.416s,PASSED
click,Chrome 69.0.3497.100,Click On Verify Record,2018-10-19 15:43:18,2018-10-19 15:43:18,0.408s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:18,2018-10-19 15:43:19,0.418s,PASSED
click,Chrome 69.0.3497.100,without giving any inputs,2018-10-19 15:43:19,2018-10-19 15:43:19,0.095s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:19,2018-10-19 15:43:19,0.440s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:43:19,2018-10-19 15:43:20,0.362s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 15:43:20,2018-10-19 15:43:20,0.169s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 15:43:20,2018-10-19 15:43:20,0.164s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:43:20,2018-10-19 15:43:21,0.790s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:21,2018-10-19 15:43:21,0.490s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:43:21,2018-10-19 15:43:22,0.356s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:43:22,2018-10-19 15:43:22,0.682s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:22,2018-10-19 15:43:23,0.451s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:43:23,2018-10-19 15:43:23,0.374s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:43:23,2018-10-19 15:43:24,0.580s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:24,2018-10-19 15:43:24,0.430s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 15:43:24,2018-10-19 15:43:24,0.356s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 15:43:24,2018-10-19 15:43:25,0.652s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 15:43:25,2018-10-19 15:43:26,0.456s,PASSED
