Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Change Password,Chrome 69.0.3497.100,,2018-10-19 16:53:10,2018-10-19 16:53:26,15.795s,PASSED
,,,,,,
Test Cases/Logistics/Roles/PRINT_IMM/Change Password,Chrome 69.0.3497.100,,2018-10-19 16:53:10,2018-10-19 16:53:26,15.278s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:53:11,2018-10-19 16:53:15,4.094s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:53:15,2018-10-19 16:53:16,1.179s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:53:16,2018-10-19 16:53:17,0.855s,PASSED
setText,Chrome 69.0.3497.100,Click On User Name,2018-10-19 16:53:17,2018-10-19 16:53:17,0.241s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:53:17,2018-10-19 16:53:18,0.582s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:53:18,2018-10-19 16:53:18,0.460s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:53:18,2018-10-19 16:53:18,0.231s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:53:18,2018-10-19 16:53:19,0.388s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:53:19,2018-10-19 16:53:19,0.428s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 16:53:19,2018-10-19 16:53:19,0.143s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:53:19,2018-10-19 16:53:20,0.096s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:53:20,2018-10-19 16:53:20,0.345s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:53:20,2018-10-19 16:53:20,0.401s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 16:53:20,2018-10-19 16:53:20,0.134s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:53:20,2018-10-19 16:53:21,0.100s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 16:53:21,2018-10-19 16:53:22,0.964s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:53:22,2018-10-19 16:53:22,0.458s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:53:22,2018-10-19 16:53:22,0.286s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:53:22,2018-10-19 16:53:22,0.127s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:53:22,2018-10-19 16:53:23,0.139s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:53:23,2018-10-19 16:53:23,0.113s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:53:23,2018-10-19 16:53:23,0.074s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:53:23,2018-10-19 16:53:23,0.415s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:53:23,2018-10-19 16:53:23,0.093s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:53:23,2018-10-19 16:53:23,0.091s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:53:23,2018-10-19 16:53:23,0.092s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:53:23,2018-10-19 16:53:24,0.442s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:53:24,2018-10-19 16:53:24,0.443s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 16:53:24,2018-10-19 16:53:25,0.324s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 16:53:25,2018-10-19 16:53:25,0.415s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 16:53:25,2018-10-19 16:53:26,0.679s,PASSED
