Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delivery Report,Chrome 69.0.3497.100,,2018-10-08 16:31:40,2018-10-08 16:33:00,1m - 19.237s,PASSED
,,,,,,
Test Cases/Logistics/Roles/PRINT_IMM/Delivery Report,Chrome 69.0.3497.100,,2018-10-08 16:31:41,2018-10-08 16:33:00,1m - 18.723s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 16:31:41,2018-10-08 16:31:46,4.115s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-08 16:31:46,2018-10-08 16:31:46,0.951s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:31:46,2018-10-08 16:31:47,0.209s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:31:47,2018-10-08 16:31:47,0.543s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 16:31:47,2018-10-08 16:31:48,0.448s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 16:31:48,2018-10-08 16:31:48,0.271s,PASSED
click,Chrome 69.0.3497.100,,2018-10-08 16:31:48,2018-10-08 16:31:48,0.424s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 16:31:48,2018-10-08 16:31:49,0.375s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-08 16:31:49,2018-10-08 16:31:49,0.155s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 16:31:49,2018-10-08 16:31:49,0.119s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-08 16:31:49,2018-10-08 16:31:49,0.286s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 16:31:49,2018-10-08 16:31:50,0.391s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-08 16:31:50,2018-10-08 16:31:50,0.159s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 16:31:50,2018-10-08 16:31:50,0.121s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-08 16:31:50,2018-10-08 16:31:51,1.089s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 16:31:51,2018-10-08 16:31:51,0.371s,PASSED
click,Chrome 69.0.3497.100,Click On Delivery Report,2018-10-08 16:31:51,2018-10-08 16:31:52,0.346s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 16:31:52,2018-10-08 16:31:52,0.384s,PASSED
click,Chrome 69.0.3497.100,Click on LO Performance By Date    ,2018-10-08 16:31:52,2018-10-08 16:31:52,0.316s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:31:52,2018-10-08 16:31:53,0.190s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:31:53,2018-10-08 16:31:53,0.188s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-08 16:31:53,2018-10-08 16:31:53,0.291s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 16:31:53,2018-10-08 16:31:54,0.382s,PASSED
click,Chrome 69.0.3497.100,"Click on 'reset' option
",2018-10-08 16:31:54,2018-10-08 16:31:54,0.087s,PASSED
takeScreenshot,Chrome 69.0.3497.100,All the filled-in data should get erased when clicked on the reset link,2018-10-08 16:31:54,2018-10-08 16:31:54,0.410s,PASSED
click,Chrome 69.0.3497.100,"without giving any inputs
",2018-10-08 16:31:54,2018-10-08 16:31:54,0.082s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-08 16:31:54,2018-10-08 16:31:55,0.405s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:31:55,2018-10-08 16:31:55,0.116s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 16:31:55,2018-10-08 16:31:55,0.110s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,Click on Road Tax  ,2018-10-08 16:31:55,2018-10-08 16:31:55,0.220s,PASSED
