Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Download Apk File,Chrome 69.0.3497.100,,2018-10-19 16:25:04,2018-10-19 16:25:19,14.766s,PASSED
,,,,,,
Test Cases/Logistics/Roles/PRINT_IMM/Download Apk File,Chrome 69.0.3497.100,,2018-10-19 16:25:05,2018-10-19 16:25:19,14.170s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:25:05,2018-10-19 16:25:09,3.959s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:25:09,2018-10-19 16:25:10,1.198s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:25:10,2018-10-19 16:25:11,0.791s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 16:25:11,2018-10-19 16:25:11,0.277s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:25:11,2018-10-19 16:25:12,0.486s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:25:12,2018-10-19 16:25:12,0.472s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:25:12,2018-10-19 16:25:12,0.248s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:25:12,2018-10-19 16:25:13,0.367s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:25:13,2018-10-19 16:25:13,0.382s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 16:25:13,2018-10-19 16:25:13,0.160s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:25:13,2018-10-19 16:25:13,0.111s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:25:13,2018-10-19 16:25:14,0.369s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:25:14,2018-10-19 16:25:14,0.405s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 16:25:14,2018-10-19 16:25:14,0.139s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:25:14,2018-10-19 16:25:14,0.097s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 16:25:14,2018-10-19 16:25:16,1.028s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:25:16,2018-10-19 16:25:16,0.442s,PASSED
click,Chrome 69.0.3497.100,Click On Download Apk File,2018-10-19 16:25:16,2018-10-19 16:25:16,0.193s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:25:16,2018-10-19 16:25:17,0.366s,PASSED
click,Chrome 69.0.3497.100,Click On BACK,2018-10-19 16:25:17,2018-10-19 16:25:17,0.367s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:25:17,2018-10-19 16:25:17,0.506s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 16:25:17,2018-10-19 16:25:18,0.276s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 16:25:18,2018-10-19 16:25:18,0.429s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 16:25:18,2018-10-19 16:25:19,0.666s,PASSED
