Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Immigration Report,Firefox 60.0,,2018-10-09 15:21:46,2018-10-09 15:22:20,33.822s,PASSED
,,,,,,
Test Cases/Logistics/Roles/PRINT_IMM/Immigration Report,Firefox 60.0,,2018-10-09 15:21:46,2018-10-09 15:22:20,33.376s,PASSED
openBrowser,Firefox 60.0,,2018-10-09 15:21:47,2018-10-09 15:21:51,4.278s,PASSED
maximizeWindow,Firefox 60.0,,2018-10-09 15:21:51,2018-10-09 15:21:55,3.630s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-09 15:21:55,2018-10-09 15:21:57,2.627s,PASSED
setText,Firefox 60.0,,2018-10-09 15:21:57,2018-10-09 15:21:57,0.166s,PASSED
click,Firefox 60.0,,2018-10-09 15:21:57,2018-10-09 15:21:59,1.099s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:21:59,2018-10-09 15:21:59,0.246s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:21:59,2018-10-09 15:21:59,0.264s,PASSED
click,Firefox 60.0,,2018-10-09 15:21:59,2018-10-09 15:22:00,0.615s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:00,2018-10-09 15:22:00,0.189s,PASSED
setText,Firefox 60.0,"Invalid Username&Password
",2018-10-09 15:22:00,2018-10-09 15:22:00,0.074s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:22:00,2018-10-09 15:22:00,0.052s,PASSED
click,Firefox 60.0,It should display an error message,2018-10-09 15:22:00,2018-10-09 15:22:00,0.343s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:00,2018-10-09 15:22:01,0.167s,PASSED
setText,Firefox 60.0,"valid Username&Password
",2018-10-09 15:22:01,2018-10-09 15:22:01,0.050s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:22:01,2018-10-09 15:22:01,0.047s,PASSED
click,Firefox 60.0,It should display login page,2018-10-09 15:22:01,2018-10-09 15:22:02,1.263s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:02,2018-10-09 15:22:02,0.187s,PASSED
click,Firefox 60.0,Click on Immigration Report,2018-10-09 15:22:02,2018-10-09 15:22:03,0.586s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:03,2018-10-09 15:22:03,0.137s,PASSED
click,Firefox 60.0,Click on Immigration Printing Assign Report  ,2018-10-09 15:22:03,2018-10-09 15:22:03,0.654s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:03,2018-10-09 15:22:04,0.160s,PASSED
click,Firefox 60.0,"Click on 'reset' option

",2018-10-09 15:22:04,2018-10-09 15:22:04,0.259s,PASSED
takeScreenshot,Firefox 60.0,All the filled-in data should get erased when clicked on the reset link,2018-10-09 15:22:04,2018-10-09 15:22:04,0.172s,PASSED
click,Firefox 60.0,without giving any inputs,2018-10-09 15:22:04,2018-10-09 15:22:04,0.237s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:04,2018-10-09 15:22:04,0.165s,PASSED
setText,Firefox 60.0,Enter only 'Postcodes' ,2018-10-09 15:22:04,2018-10-09 15:22:04,0.053s,PASSED
