Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Performance Report,Firefox 60.0,,2018-10-09 15:22:31,2018-10-09 15:25:26,2m - 55.321s,PASSED
,,,,,,
Test Cases/Logistics/Roles/PRINT_IMM/Performance Report,Firefox 60.0,,2018-10-09 15:22:31,2018-10-09 15:25:26,2m - 54.854s,PASSED
openBrowser,Firefox 60.0,,2018-10-09 15:22:32,2018-10-09 15:22:36,4.494s,PASSED
maximizeWindow,Firefox 60.0,,2018-10-09 15:22:36,2018-10-09 15:22:40,3.570s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-09 15:22:40,2018-10-09 15:22:42,1.754s,PASSED
setText,Firefox 60.0,,2018-10-09 15:22:42,2018-10-09 15:22:42,0.163s,PASSED
click,Firefox 60.0,,2018-10-09 15:22:42,2018-10-09 15:22:42,0.497s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:42,2018-10-09 15:22:43,0.245s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:22:43,2018-10-09 15:22:43,0.218s,PASSED
click,Firefox 60.0,,2018-10-09 15:22:43,2018-10-09 15:22:43,0.460s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:43,2018-10-09 15:22:43,0.158s,PASSED
setText,Firefox 60.0,Invalid Username&Password,2018-10-09 15:22:43,2018-10-09 15:22:44,0.071s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:22:44,2018-10-09 15:22:44,0.064s,PASSED
click,Firefox 60.0,It should display an error message,2018-10-09 15:22:44,2018-10-09 15:22:44,0.414s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:44,2018-10-09 15:22:44,0.152s,PASSED
setText,Firefox 60.0,valid Username&Password,2018-10-09 15:22:44,2018-10-09 15:22:44,0.062s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:22:44,2018-10-09 15:22:44,0.050s,PASSED
click,Firefox 60.0,It should display  Login Page,2018-10-09 15:22:44,2018-10-09 15:22:46,1.641s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:46,2018-10-09 15:22:46,0.180s,PASSED
click,Firefox 60.0,Click on Performance Report,2018-10-09 15:22:46,2018-10-09 15:22:47,0.601s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:22:47,2018-10-09 15:22:47,0.137s,PASSED
click,Firefox 60.0,Click on LO Performance By Date ,2018-10-09 15:22:47,2018-10-09 15:22:47,0.405s,PASSED
