Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ticket,Chrome 69.0.3497.100,,2018-10-19 16:04:49,2018-10-19 16:05:33,44.131s,PASSED
,,,,,,
Test Cases/Logistics/Roles/PRINT_IMM/Ticket,Chrome 69.0.3497.100,,2018-10-19 16:04:49,2018-10-19 16:05:33,43.411s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:04:50,2018-10-19 16:04:55,4.501s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:04:55,2018-10-19 16:04:56,1.155s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:04:56,2018-10-19 16:04:57,1.200s,PASSED
setText,Chrome 69.0.3497.100,Click On User Name,2018-10-19 16:04:57,2018-10-19 16:04:57,0.359s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:04:57,2018-10-19 16:04:58,0.592s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:04:58,2018-10-19 16:04:58,0.440s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:04:58,2018-10-19 16:04:59,0.254s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:04:59,2018-10-19 16:04:59,0.398s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:04:59,2018-10-19 16:04:59,0.407s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username & Password,2018-10-19 16:04:59,2018-10-19 16:05:00,0.173s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:05:00,2018-10-19 16:05:00,0.126s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:05:00,2018-10-19 16:05:00,0.689s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:00,2018-10-19 16:05:01,0.413s,PASSED
setText,Chrome 69.0.3497.100,valid Username & Password,2018-10-19 16:05:01,2018-10-19 16:05:01,0.152s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:05:01,2018-10-19 16:05:01,0.115s,PASSED
click,Chrome 69.0.3497.100,It should display Login Page,2018-10-19 16:05:01,2018-10-19 16:05:02,1.139s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:02,2018-10-19 16:05:03,0.437s,PASSED
click,Chrome 69.0.3497.100,Click On Ticket,2018-10-19 16:05:03,2018-10-19 16:05:03,0.507s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:03,2018-10-19 16:05:04,0.427s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:04,2018-10-19 16:05:04,0.775s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:04,2018-10-19 16:05:05,0.369s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:05,2018-10-19 16:05:06,0.892s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:06,2018-10-19 16:05:06,0.648s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:06,2018-10-19 16:05:07,0.460s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:07,2018-10-19 16:05:07,0.391s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:07,2018-10-19 16:05:08,0.709s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:08,2018-10-19 16:05:08,0.457s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:08,2018-10-19 16:05:09,0.380s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:09,2018-10-19 16:05:09,0.632s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:09,2018-10-19 16:05:10,0.460s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:10,2018-10-19 16:05:10,0.371s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:10,2018-10-19 16:05:12,1.399s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:12,2018-10-19 16:05:12,0.475s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:12,2018-10-19 16:05:12,0.379s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:12,2018-10-19 16:05:13,0.758s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:13,2018-10-19 16:05:14,0.449s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:05:14,2018-10-19 16:05:14,0.233s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:14,2018-10-19 16:05:14,0.351s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:14,2018-10-19 16:05:15,0.659s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:15,2018-10-19 16:05:15,0.478s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:15,2018-10-19 16:05:16,0.421s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:16,2018-10-19 16:05:16,0.646s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:16,2018-10-19 16:05:17,0.449s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:17,2018-10-19 16:05:17,0.437s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:17,2018-10-19 16:05:18,0.994s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:18,2018-10-19 16:05:19,0.475s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:19,2018-10-19 16:05:19,0.392s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:19,2018-10-19 16:05:20,0.786s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:20,2018-10-19 16:05:20,0.456s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:20,2018-10-19 16:05:21,0.423s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:21,2018-10-19 16:05:22,0.676s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:22,2018-10-19 16:05:22,0.454s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:22,2018-10-19 16:05:22,0.418s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:22,2018-10-19 16:05:23,0.671s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:23,2018-10-19 16:05:23,0.429s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:23,2018-10-19 16:05:24,0.382s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:24,2018-10-19 16:05:24,0.602s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:24,2018-10-19 16:05:25,0.455s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:25,2018-10-19 16:05:25,0.448s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:25,2018-10-19 16:05:26,0.750s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:26,2018-10-19 16:05:27,0.468s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:27,2018-10-19 16:05:27,0.447s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:27,2018-10-19 16:05:28,0.611s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:28,2018-10-19 16:05:28,0.428s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-19 16:05:28,2018-10-19 16:05:29,0.463s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:29,2018-10-19 16:05:29,0.607s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:29,2018-10-19 16:05:30,0.443s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-19 16:05:30,2018-10-19 16:05:30,0.228s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:05:30,2018-10-19 16:05:30,0.660s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:05:30,2018-10-19 16:05:31,0.453s,PASSED
click,Chrome 69.0.3497.100,"Click on 'reset' option

",2018-10-19 16:05:31,2018-10-19 16:05:31,0.101s,PASSED
takeScreenshot,Chrome 69.0.3497.100,"All the filled-in data should get erased when clicked on the reset link
",2018-10-19 16:05:31,2018-10-19 16:05:31,0.403s,PASSED
click,Chrome 69.0.3497.100,Clik On Logout,2018-10-19 16:05:31,2018-10-19 16:05:32,0.299s,PASSED
takeScreenshot,Chrome 69.0.3497.100,User should be logged out successfully,2018-10-19 16:05:32,2018-10-19 16:05:32,0.426s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-19 16:05:32,2018-10-19 16:05:33,0.736s,PASSED
