Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User MGMT,Firefox 60.0,,2018-10-09 15:25:37,2018-10-09 15:25:52,15.707s,FAILED
,,,,,,
Test Cases/Logistics/Roles/PRINT_IMM/User MGMT,Firefox 60.0,,2018-10-09 15:25:37,2018-10-09 15:25:52,14.862s,FAILED
openBrowser,Firefox 60.0,,2018-10-09 15:25:38,2018-10-09 15:25:44,5.772s,PASSED
maximizeWindow,Firefox 60.0,,2018-10-09 15:25:44,2018-10-09 15:25:47,3.572s,PASSED
navigateToUrl,Firefox 60.0,,2018-10-09 15:25:47,2018-10-09 15:25:48,0.781s,PASSED
setText,Firefox 60.0,,2018-10-09 15:25:48,2018-10-09 15:25:48,0.149s,PASSED
click,Firefox 60.0,,2018-10-09 15:25:48,2018-10-09 15:25:48,0.464s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:25:48,2018-10-09 15:25:49,0.257s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:25:49,2018-10-09 15:25:49,0.182s,PASSED
click,Firefox 60.0,,2018-10-09 15:25:49,2018-10-09 15:25:49,0.454s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:25:49,2018-10-09 15:25:50,0.204s,PASSED
setText,Firefox 60.0,Invalid Username&Password,2018-10-09 15:25:50,2018-10-09 15:25:50,0.076s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:25:50,2018-10-09 15:25:50,0.059s,PASSED
click,Firefox 60.0,It should display an error message,2018-10-09 15:25:50,2018-10-09 15:25:50,0.370s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:25:50,2018-10-09 15:25:50,0.191s,PASSED
setText,Firefox 60.0,valid Username&Password,2018-10-09 15:25:50,2018-10-09 15:25:50,0.061s,PASSED
setEncryptedText,Firefox 60.0,,2018-10-09 15:25:50,2018-10-09 15:25:50,0.055s,PASSED
click,Firefox 60.0,It should display Login Page,2018-10-09 15:25:50,2018-10-09 15:25:51,1.005s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:25:51,2018-10-09 15:25:52,0.196s,PASSED
click,Firefox 60.0,Click on User MGMT,2018-10-09 15:25:52,2018-10-09 15:25:52,0.117s,PASSED
takeScreenshot,Firefox 60.0,Should display an error message 'Invalid Access',2018-10-09 15:25:52,2018-10-09 15:25:52,0.096s,PASSED
click,Firefox 60.0,,2018-10-09 15:25:52,2018-10-09 15:25:52,0.060s,PASSED
takeScreenshot,Firefox 60.0,,2018-10-09 15:25:52,2018-10-09 15:25:52,0.235s,FAILED
