Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Record,Chrome 69.0.3497.100,,2018-10-19 16:14:56,2018-10-19 16:15:42,46.327s,FAILED
,,,,,,
Test Cases/Logistics/Roles/CSO_ADMIN/Download Apk File,Chrome 69.0.3497.100,,2018-10-19 16:14:56,2018-10-19 16:15:41,45.022s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-19 16:14:57,2018-10-19 16:15:01,4.633s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-19 16:15:01,2018-10-19 16:15:03,1.217s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-19 16:15:03,2018-10-19 16:15:03,0.757s,PASSED
setText,Chrome 69.0.3497.100,Click On Username,2018-10-19 16:15:03,2018-10-19 16:15:04,0.382s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:15:04,2018-10-19 16:15:04,0.535s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:15:04,2018-10-19 16:15:05,0.465s,PASSED
setEncryptedText,Chrome 69.0.3497.100,Click On Password,2018-10-19 16:15:05,2018-10-19 16:15:05,0.362s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:15:05,2018-10-19 16:15:05,0.288s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:15:05,2018-10-19 16:15:06,0.411s,PASSED
setText,Chrome 69.0.3497.100,Invalid Username&Password,2018-10-19 16:15:06,2018-10-19 16:15:06,0.158s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:15:06,2018-10-19 16:15:06,0.114s,PASSED
click,Chrome 69.0.3497.100,It should display an error message,2018-10-19 16:15:06,2018-10-19 16:15:06,0.392s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:15:06,2018-10-19 16:15:07,0.413s,PASSED
setText,Chrome 69.0.3497.100,valid Username&Password,2018-10-19 16:15:07,2018-10-19 16:15:07,0.191s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-19 16:15:07,2018-10-19 16:15:07,0.115s,PASSED
click,Chrome 69.0.3497.100,"It should display Login Page
",2018-10-19 16:15:07,2018-10-19 16:15:08,1.228s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:15:08,2018-10-19 16:15:09,0.441s,PASSED
click,Chrome 69.0.3497.100,Click On Download Apk File,2018-10-19 16:15:09,2018-10-19 16:15:09,0.222s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-19 16:15:09,2018-10-19 16:15:09,0.403s,PASSED
click,Chrome 69.0.3497.100,,2018-10-19 16:15:09,2018-10-19 16:15:41,31.813s,FAILED
